STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/8/1952,0.45,0,0,,76,67
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/9/1952,2.97,0,0,,84,65
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/10/1952,0.09,0,0,,69,58
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/11/1952,0,0,0,,83,55
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/12/1952,0,0,0,,90,58
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/13/1952,0,0,0,,92,65
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/14/1952,0,0,0,,93,67
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/15/1952,1.18,0,0,,92,69
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/16/1952,0,0,0,,85,70
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/17/1952,0,0,0,,90,69
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/18/1952,0.03,0,0,,91,71
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/19/1952,0,0,0,,87,73
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/20/1952,0.3,0,0,,90,70
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/21/1952,0.46,0,0,,91,69
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/22/1952,1.03,0,0,,90,66
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/23/1952,0.03,0,0,,94,65
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/24/1952,0,0,0,,78,61
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/25/1952,0,0,0,,82,55
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/26/1952,0,0,0,,87,63
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/27/1952,0.34,0,0,,85,68
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/28/1952,0.01,0,0,,87,61
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/29/1952,0,0,0,,79,61
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/30/1952,0,0,0,,82,57
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",7/31/1952,0.4,0,0,,84,64
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/1/1952,0,0,0,,80,56
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/2/1952,1.42,0,0,,76,63
USW00014777,"WILKES BARRE SCRANTON INTERNATIONAL AIRPORT, PA US",8/3/1952,0,0,0,,87,60
